241,GMMPFAUDLR,INE541A01023,1379.4,20
242,AEROFLEX,INE024001021,196.9,20
243,SUMICHEM,INE258G01013,564.35,20
244,EMCURE,INE168P01015,1439.8,20
245,APLAPOLLO,INE702C01027,1524.4,20
246,GOODLUCK,INE127I01024,987.1,20
247,KTKBANK,INE614B01018,219.32,20
248,ORIENTCEM,INE876N01018,340.6,20.06
249,POLYPLEX,INE633B01018,1242.9,20
250,KOPRAN,INE082A01010,320.35,20.8
251,FEDFINA,INE007N01010,103.64,20
252,BOMDYEING,INE032A01023,231.6,21.07
253,GIPCL,INE162A01010,214.08,20.05
254,SGBJUL28IV,IN0020200146,8100.68,10
255,TRIVENI,INE256C01024,409.15,20
256,PSPPROJECT,INE488V01015,617.05,20
257,SGBOCT25,IN0020170059,8025,10
258,MASTEK,INE759A01021,2953.6,20
259,CARTRADE,INE290S01011,1204.9,20
260,LODHA,INE670K01029,1217.3,20
261,RADICO,INE944F01028,2379.7,20
262,PERSISTENT,INE262H01021,5737.4,20
263,RTNINDIA,INE834M01019,71.25,21.37
264,GALAXYSURF,INE600K01018,3098.55,20
265,SGBD29VIII,IN0020210228,8191,10
266,GODIGIT,INE03JT01014,341.9,20
267,SMALLCAP,INF769K01LC3,51.51,6.29
268,HBLPOWER,INE292B01021,577.05,20.94
269,NATCOPHARM,INE987B01026,1431.55,20
270,BANDHANBNK,INE545U01014,181.4,20
271,SGBAUG28V,IN0020200161,8158.8,10
272,MGL,INE002S01010,1437.65,20
273,MAHABANK,INE457A01014,55.28,20
274,GODREJIND,INE233A01035,1014.1,20
275,SHRIRAMFIN,INE721A01013,3070.15,13.94
276,FEDERALBNK,INE171A01029,206.01,20
277,LLOYDSENGG,INE093R01011,76.58,24.38
278,BFUTILITIE,INE243D01012,963.35,100
279,SGBMAY25,IN0020170018,8000,10
280,BHARTIHEXA,INE343G01021,1415.05,20
281,HDFCSILVER,INF179KC1DI2,88.31,20
282,ALKYLAMINE,INE150B01039,2123.65,20
283,PETRONET,INE347G01014,346.7,20
284,ESCORTS,INE042A01014,3643.65,20
285,FCL,INE045J01026,377.95,20
286,BORORENEW,INE666D01022,468.05,20
287,SETFNIF50,INF200KA1FS1,255.96,6
288,SGBN28VIII,IN0020200286,8125.97,10
289,GREENPANEL,INE08ZM01014,384.9,20
290,LIQUIDBETF,INF0QA701854,999.99,5
291,NOCIL,INE163A01018,282.85,20
292,CGPOWER,INE067A01029,727,20
293,ACLGATI,INE152B01027,99.72,20
294,PRAKASH,INE603A01013,170.61,21.39
295,CHOLAFIN,INE121A01024,1283,20
296,SHARDAMOTR,INE597I01028,2304.35,20
297,SEQUENT,INE807F01027,222.35,100
298,M&M,INE101A01026,2891.35,12.03
299,UNOMINDA,INE405E01023,949.5,20
300,JWL,INE209L01016,510.1,23.02
301,AWL,INE699H01024,345.7,20
302,MMTC,INE123F01029,80.81,24.12
303,ELGIEQUIP,INE285A01027,651.15,20
304,MID150BEES,INF204KB1V68,217.79,6.16
305,PGHH,INE179A01014,15456.3,20
306,SANSERA,INE953O01021,1575.25,20
307,TVSMOTOR,INE494B01023,2479.45,20
308,PNCINFRA,INE195J01029,320.2,20
309,SDBL,INE480C01038,111.02,20
310,GAEL,INE036B01030,133.75,20
311,SRF,INE647A01010,2378.45,20
312,CHALET,INE427F01016,881.2,20
313,BANKINDIA,INE084A01016,113.07,20
314,ZYDUSLIFE,INE010B01027,973.25,20
315,GABRIEL,INE524A01029,459.45,20
316,CANBK,INE476A01022,105.07,20
317,KARURVYSYA,INE036D01028,231.66,20
318,ADANIENT,INE423A01024,2970.1,19.4
319,GODFRYPHLP,INE260B01028,6946.25,23.39
320,SOBHA,INE671H01015,1649.35,20
321,PGHL,INE199A01012,5679.85,20
322,CDSL,INE736A01011,1600.95,20
323,MUTHOOTFIN,INE414G01012,1823.85,20
324,MAHLIFE,INE813A01018,515.6,20
325,JKTYRE,INE573A01042,385.75,20
326,UBL,INE686F01025,1935,20
327,TIPSMUSIC,INE716B01029,917.65,20
328,WESTLIFE,INE274F01020,773.7,20
329,COFORGE,INE591G01017,7853.35,20
330,AAVAS,INE216P01012,1705.9,20
331,ENGINERSIN,INE510A01028,193.91,21.42
332,KELLTONTEC,INE164B01022,157.93,22.65
333,AFFLE,INE00WC01027,1629.15,20
334,VAIBHAVGBL,INE884A01027,288.05,20
335,WSTCSTPAPR,INE976A01021,573.1,20
336,KPRMILL,INE930H01031,924.55,20
337,LIQUIDSHRI,INF680P01422,1021.33,5
338,CYIENTDLM,INE055S01018,659.8,20
339,MHRIL,INE998I01010,379.2,20
340,ONGC,INE213A01029,265.2,13.92
341,GODREJCP,INE102D01028,1258.5,20
342,ANGELONE,INE732I01013,2886.3,21.69
343,MOGSEC,INF247L01AK4,57.79,80
344,HEROMOTOCO,INE158A01026,4816,10.07
345,IONEXCHANG,INE570A01022,688.8,20
346,GODREJPROP,INE484J01027,2811.85,20
347,RBA,INE07T201019,92.48,20
348,EVEREADY,INE128A01029,395.8,20
349,IGL,INE203G01027,436.8,20
350,GICRE,INE481Y01014,375.5,20
351,APOLLOHOSP,INE437A01024,7424.85,9.17
352,KEC,INE389H01022,1050.7,20
353,SAIL,INE114A01011,123.36,20
354,SPIC,INE147A01011,81.72,20
355,MASFIN,INE348L01012,300.65,20
356,LICHSGFIN,INE115A01026,638.7,20
357,INDIGO,INE646L01027,3995.75,20
358,TATASTEEL,INE081A01020,150.95,11.68
359,SGBMAY29I,IN0020210053,8109.66,10
360,IDBI,INE008A01015,84.79,20
361,SGBJAN26,IN0020170166,8140,10
362,ZENSARTECH,INE520A01027,737.3,20
363,FIEMIND,INE737H01014,1643.95,20
364,MEDPLUS,INE804L01022,680.2,20
365,CARYSIL,INE482D01024,787.15,20
366,YATHARTH,INE0JO301016,657.1,20
367,SHK,INE500L01026,307.2,20.32
368,NUVOCO,INE118D01016,353.75,20
369,CUB,INE491A01021,180.92,20
370,FIVESTAR,INE128S01021,654.4,20
371,UTKARSHBNK,INE735W01017,42.2,20
372,RVNL,INE415G01027,477.85,25.07
373,SATIN,INE836B01017,165.05,20
374,BAJAJFINSV,INE918I01026,1729.7,9.49
375,NEULANDLAB,INE794A01010,13779.3,23.82
376,BEML,INE258A01016,4266.85,22.37
377,GPPL,INE517F01014,189.33,20
378,SUNDARMFIN,INE660A01013,4727.55,20
379,EBBETF0425,INF754K01LD3,1251.09,20
380,RBLBANK,INE976G01028,171.32,20
381,OLECTRA,INE260D01016,1613.3,20
382,HONASA,INE0J5401028,378.95,20
383,MINDACORP,INE842C01021,520.8,20
384,VINATIORGA,INE410B01037,1927.3,20
385,RELIANCE,INE002A01018,1305.65,9
386,IMAGICAA,INE172N01012,78.07,21.27
387,ANURAS,INE930P01018,736.7,20
388,AHLUCONT,INE758C01029,1053.4,20
389,SIGNATURE,INE903U01023,1384,20
390,DEEPAKFERT,INE501A01019,1346.2,20
